Iteração;Posição X1;Posição X2;Aptidão(fp)
1;-6.0000000000000000;3.0000000000000000;0.1978296468709488
2;-6.0000000000000000;3.0000000000000000;0.1978296468709488
3;-12.2174752513070679;-1.0000000000000000;0.1915792271496959
4;-12.2174752513070679;-1.0000000000000000;0.1915792271496959
5;-12.2174752513070679;-1.0000000000000000;0.1915792271496959
6;-9.7383317255790800;-7.8127706544252575;0.1307097851876495
7;-9.7383317255790800;-7.8127706544252575;0.1307097851876495
8;-9.7383317255790800;-7.8127706544252575;0.1307097851876495
9;-9.7383317255790800;-7.8127706544252575;0.1307097851876495
10;-9.7383317255790800;-7.8127706544252575;0.1307097851876495
