Iteração;Posição X1;Posição X2;Aptidão(fp)
1;2.5874556741466961;-2.2430588328344534;0.0875778081977256
2;-1.8752331110902354;-2.2886319680808791;0.0411219577974832
3;-1.8752331110902354;-2.2886319680808791;0.0411219577974832
4;-1.8752331110902354;-2.2886319680808791;0.0411219577974832
5;6.1104273945231720;0.7657114518197243;0.0502918505885590
6;6.1104273945231720;0.7657114518197243;0.0502918505885590
7;0.4586921130568555;2.9498948301756505;0.0325842592528178
8;0.4586921130568555;2.9498948301756505;0.0325842592528178
9;0.4586921130568555;2.9498948301756505;0.0325842592528178
10;0.4586921130568555;2.9498948301756505;0.0325842592528178
11;0.4586921130568555;2.9498948301756505;0.0325842592528178
12;0.4586921130568555;2.9498948301756505;0.0325842592528178
13;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
14;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
15;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
16;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
17;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
18;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
19;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
20;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
21;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
22;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
23;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
24;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
25;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
26;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
27;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
28;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
29;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
30;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
31;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
32;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
33;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
34;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
35;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
36;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
37;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
38;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
39;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
40;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
41;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
42;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
43;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
44;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
45;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
46;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
47;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
48;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
49;-2.7432757361638629;-1.5577350163063173;0.0099737744522362
50;-2.7432757361638629;-1.5577350163063173;0.0099737744522362

Melhor gBest:
Iteração: 13; Posição X1: -2.7432757361638629; Posição X2: -1.5577350163063173; Aptidão(fp): 0.0099737744522362

Média(fp): 0.0177207273493835
Desvio Padrão(fp): 0.0156529541846516
