Iteração;Posição X1;Posição X2;Aptidão(fp)
1;-2.2474886076552005;-2.2726025061721193;0.0129844281294858
2;-2.2474886076552005;-2.2726025061721193;0.0129844281294858
3;-2.2474886076552005;-2.2726025061721193;0.0129844281294858
4;-2.2474886076552005;-2.2726025061721193;0.0129844281294858
5;0.1263483341783136;-0.0617638833108920;0.0196676243831588
6;0.0244802710317038;-0.0392847940554546;0.0021431823334562
7;-2.3145207733815631;2.2720333089632430;0.0204552016522352
8;-1.8758901165170077;2.5172851472894582;0.0097166912563992
9;-1.8758901165170077;2.5172851472894582;0.0097166912563992
10;0.0244802710317038;-0.0392847940554546;0.0021431823334562
11;0.0244802710317038;-0.0392847940554546;0.0021431823334562
12;0.0244802710317038;-0.0392847940554546;0.0021431823334562
13;0.0244802710317038;-0.0392847940554546;0.0021431823334562
14;0.0244802710317038;-0.0392847940554546;0.0021431823334562
15;0.0244802710317038;-0.0392847940554546;0.0021431823334562
16;0.0244802710317038;-0.0392847940554546;0.0021431823334562
17;0.0244802710317038;-0.0392847940554546;0.0021431823334562
18;0.0244802710317038;-0.0392847940554546;0.0021431823334562
19;0.0244802710317038;-0.0392847940554546;0.0021431823334562
20;0.0244802710317038;-0.0392847940554546;0.0021431823334562
21;0.0244802710317038;-0.0392847940554546;0.0021431823334562
22;0.0244802710317038;-0.0392847940554546;0.0021431823334562
23;0.0244802710317038;-0.0392847940554546;0.0021431823334562
24;0.0244802710317038;-0.0392847940554546;0.0021431823334562
25;0.0244802710317038;-0.0392847940554546;0.0021431823334562
26;0.0244802710317038;-0.0392847940554546;0.0021431823334562
27;0.0244802710317038;-0.0392847940554546;0.0021431823334562
28;0.0244802710317038;-0.0392847940554546;0.0021431823334562
29;0.0244802710317038;-0.0392847940554546;0.0021431823334562
30;0.0244802710317038;-0.0392847940554546;0.0021431823334562
31;0.0244802710317038;-0.0392847940554546;0.0021431823334562
32;0.0244802710317038;-0.0392847940554546;0.0021431823334562
33;0.0244802710317038;-0.0392847940554546;0.0021431823334562
34;0.0244802710317038;-0.0392847940554546;0.0021431823334562
35;0.0244802710317038;-0.0392847940554546;0.0021431823334562
36;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
37;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
38;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
39;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
40;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
41;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
42;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
43;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
44;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
45;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
46;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
47;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
48;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
49;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
50;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
51;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
52;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
53;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
54;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
55;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
56;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
57;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
58;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
59;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
60;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
61;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
62;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
63;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
64;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
65;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
66;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
67;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
68;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
69;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
70;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
71;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
72;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
73;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
74;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
75;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
76;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
77;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
78;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
79;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
80;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
81;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
82;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
83;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
84;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
85;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
86;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
87;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
88;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
89;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
90;-0.0071385007959744;-0.0029730853721920;0.0000598560286167
